name,url,industry,social page,location,founded,size
Armitage Sykes Solicitors - now part of Schofield Sweeney,http://www.schofieldsweeney.co.uk,Law Practice,https://www.linkedin.com/company/4029439,Huddersfield. England. United Kingdom,1750,51-200
Alsters Kelley Solicitors Limited,http://www.alsterskelley.com,Law Practice,https://www.linkedin.com/company/853535,Leamington Spa. England. United Kingdom,1987,51-200
Forrester Sylvester Mackett Solicitors,http://www.fsmsolicitors.co.uk,Law Practice,https://www.linkedin.com/company/2744202,Chippenham. England. United Kingdom,1800,51-200
Star Legal Solicitors,http://star-legal.co.uk/,Law Practice,https://www.linkedin.com/company/5069475,Bristol. England. United Kingdom,2011,51-200
Clear Law Solicitors LLP,http://www.clearlawonline.co.uk,Law Practice,https://www.linkedin.com/company/988181,Manchester. England. United Kingdom,2005,51-200
Burnetts Solicitors,http://www.burnetts.co.uk,Law Practice,https://www.linkedin.com/company/996668,Rosehill Industrial Estate. England. United Kingdom,1890,51-200
Bhatia Best Solicitors,http://www.bhatiabest.co.uk,Law Practice,https://www.linkedin.com/company/3514150,Nottingham. England. United Kingdom,1993,51-200
Smith Jones Solicitors,http://www.smithjonessolicitors.co.uk,Law Practice,https://www.linkedin.com/company/1993419,Burnley. England. United Kingdom,1988,51-200
K J Smith Solicitors,https://www.kjsmith.co.uk,Law Practice,https://www.linkedin.com/company/3204108,Woodley. England. United Kingdom,2009,51-200
Battens Solicitors Limited,https://www.battens.co.uk,Law Practice,https://www.linkedin.com/company/1578367,Yeovil. England. United Kingdom,,51-200
Breeze & Wyles Solicitors Limited,www.breezeandwyles.co.uk,Law Practice,https://www.linkedin.com/company/576257,Stevenage. United Kingdom,,51-200
Tughans Solicitors,http://www.tughans.com,Law Practice,https://www.linkedin.com/company/1354123,Belfast. Northern Ireland. United Kingdom,1896,51-200
Redkite Solicitors,http://www.redkitelaw.co.uk,Law Practice,https://www.linkedin.com/company/2244591,Roath. Wales. United Kingdom,1898,51-200
Hartley & Worstenholme,http://www.hartley-worstenholme.co.uk,Law Practice,https://www.linkedin.com/company/926822,Castleford. England. United Kingdom,1874,51-200
Premier Solicitors,http://www.premiersolicitors.co.uk/,Law Practice,https://www.linkedin.com/company/2938453,Bedford. England. United Kingdom,2006,51-200
Doyle Clayton - Workplace law and advisory,http://www.doyleclayton.co.uk,Law Practice,https://www.linkedin.com/company/651510,Moorgate. England. United Kingdom,1997,51-200
Thursfields Solicitors,http://www.thursfields.co.uk,Law Practice,https://www.linkedin.com/company/988007,Kidderminster. England. United Kingdom,1877,51-200
Bromleys Solicitors LLP,http://www.bromleys.co.uk,Law Practice,https://www.linkedin.com/company/3613752,Ashton-under-Lyne. England. United Kingdom,1875,51-200
Arc Property Solicitors,http://www.arcpropertysolicitors.com,Law Practice,https://www.linkedin.com/company/607856,Harrogate. England. United Kingdom,2004,51-200
Hampson Hughes Solicitors,http://www.hampsonhughes.com,Law Practice,https://www.linkedin.com/company/1182493,Liverpool. England. United Kingdom,2009,51-200
